feature,trend_direction,trend_strength,correlation,p_value,percent_change,start_value,end_value,abs_correlation
lexical_diversity,increasing,strong,0.7018394309768029,0.02367662124297895,0.9408239268670417,0.8948287786774628,0.9032475419317525,0.7018394309768029
gunning_fog,increasing,moderate,0.6879351636233435,0.027883989295979062,4.87108570965575,11.7542673992674,12.326827838827839,0.6879351636233435
has_greeting,increasing,moderate,0.520825297634457,0.12269102826982697,35.29411764705882,0.17,0.23,0.520825297634457
is_https,decreasing,moderate,-0.4774246612716092,0.16289184302118595,-13.186813186813188,0.455,0.395,0.4774246612716092
reward_density,increasing,moderate,0.4735650874067324,0.16680520567709956,36.36363636363637,0.043421052631578944,0.05921052631578947,0.4735650874067324
avg_word_length,decreasing,moderate,-0.42898884629425543,0.21605089178825962,-0.9600592484971143,5.87933915317139,5.822894013880856,0.42898884629425543
flesch_reading_ease,increasing,moderate,0.41783077928408996,0.22954445211213204,11.764614405565903,14.971954532967047,16.733347252747265,0.41783077928408996
sentiment_subjectivity,decreasing,moderate,-0.3718300198887722,0.2900558929148656,-28.57142857142857,0.105,0.075,0.3718300198887722
sentiment_polarity,decreasing,moderate,-0.371830019888772,0.2900558929148656,-28.57142857142858,0.042,0.03,0.371830019888772
url_length,decreasing,moderate,-0.34745363176310046,0.32524674426127376,-0.8140531276777966,35.01,34.725,0.34745363176310046
authority_density,decreasing,moderate,-0.3379586498024452,0.33952445794439734,-4.599721545422894,0.031296296296296294,0.029856753812636166,0.3379586498024452
flesch_kincaid_grade,decreasing,moderate,-0.3215148033170899,0.3649908763795586,-1.1683673403079464,12.894507967032968,12.743852747252749,0.3215148033170899
urgency_density,increasing,moderate,0.30511397316080524,0.3913041910480626,16.23853211009174,0.02868421052631579,0.033342105263157895,0.30511397316080524
fear_density,increasing,weak,0.27088302011009174,0.4490429335756068,18.238636363636346,0.0162962962962963,0.019268518518518518,0.27088302011009174
avg_sentence_length,increasing,weak,0.26302614830069604,0.46281085934447763,3.0487804878048905,8.61,8.8725,0.26302614830069604
subdomain_count,stable,weak,-0.05188190510059959,0.8868133286932709,7.499999999999993,0.2,0.215,0.05188190510059959
misleading_keywords,stable,weak,-0.0059941535417909475,0.9868882602372955,4.629629629629626,1.62,1.695,0.0059941535417909475
has_closing,decreasing,strong,,,0.0,0.0,0.0,
formality_score,decreasing,strong,,,0.0,0.0,0.0,
is_typosquatting,decreasing,strong,,,0.0,0.0,0.0,
