date,subject,body,label,from
2015-01-01 00:00:00.000000000,Congratulations! You've won,Your account will be suspended unless you update your payment information immediately. Click here: https://paypal-secure.verify-account.com,phishing,noreply0@suspicious-domain.com
2015-01-02 19:50:45.322661330,Important security alert,Your package is ready for delivery. Track your shipment: http://tracking-express.com/package,phishing,noreply1@suspicious-domain.com
2015-01-04 15:41:30.645322661,Reset your password now,"Dear valued customer, we have detected suspicious activity on your account. Please verify your identity by clicking the link below: http://secure-bank-verify.com/login",phishing,noreply2@suspicious-domain.com
2015-01-06 11:32:15.967983992,Action required: Update payment information,"Dear valued customer, we have detected suspicious activity on your account. Please verify your identity by clicking the link below: http://secure-bank-verify.com/login",phishing,noreply3@suspicious-domain.com
2015-01-08 07:23:01.290645322,Congratulations! You've won,Congratulations! You have been selected as a winner. Claim your prize now: http://prize-winner.net/claim,phishing,noreply4@suspicious-domain.com
2015-01-10 03:13:46.613306653,Click here to claim your prize,We need to confirm your identity. Please provide your account details: https://account-security.com/verify,phishing,noreply5@suspicious-domain.com
2015-01-11 23:04:31.935967984,Confirm your identity immediately,Congratulations! You have been selected as a winner. Claim your prize now: http://prize-winner.net/claim,phishing,noreply6@suspicious-domain.com
2015-01-13 18:55:17.258629314,Congratulations! You've won,We need to confirm your identity. Please provide your account details: https://account-security.com/verify,phishing,noreply7@suspicious-domain.com
2015-01-15 14:46:02.581290645,Reset your password now,Your account will be suspended unless you update your payment information immediately. Click here: https://paypal-secure.verify-account.com,phishing,noreply8@suspicious-domain.com
2015-01-17 10:36:47.903951976,Action required: Update payment information,Your account will be suspended unless you update your payment information immediately. Click here: https://paypal-secure.verify-account.com,phishing,noreply9@suspicious-domain.com
2015-01-19 06:27:33.226613306,Important security alert,Your package is ready for delivery. Track your shipment: http://tracking-express.com/package,phishing,noreply10@suspicious-domain.com
2015-01-21 02:18:18.549274637,Reset your password now,We need to confirm your identity. Please provide your account details: https://account-security.com/verify,phishing,noreply11@suspicious-domain.com
2015-01-22 22:09:03.871935968,Reset your password now,Your package is ready for delivery. Track your shipment: http://tracking-express.com/package,phishing,noreply12@suspicious-domain.com
2015-01-24 17:59:49.194597298,Confirm your identity immediately,"Dear valued customer, we have detected suspicious activity on your account. Please verify your identity by clicking the link below: http://secure-bank-verify.com/login",phishing,noreply13@suspicious-domain.com
2015-01-26 13:50:34.517258629,Your package is waiting,We need to confirm your identity. Please provide your account details: https://account-security.com/verify,phishing,noreply14@suspicious-domain.com
2015-01-28 09:41:19.839919960,Action required: Update payment information,Congratulations! You have been selected as a winner. Claim your prize now: http://prize-winner.net/claim,phishing,noreply15@suspicious-domain.com
2015-01-30 05:32:05.162581290,Your account has been compromised,"Dear valued customer, we have detected suspicious activity on your account. Please verify your identity by clicking the link below: http://secure-bank-verify.com/login",phishing,noreply16@suspicious-domain.com
2015-02-01 01:22:50.485242621,Reset your password now,"Dear valued customer, we have detected suspicious activity on your account. Please verify your identity by clicking the link below: http://secure-bank-verify.com/login",phishing,noreply17@suspicious-domain.com
2015-02-02 21:13:35.807903952,Your package is waiting,Congratulations! You have been selected as a winner. Claim your prize now: http://prize-winner.net/claim,phishing,noreply18@suspicious-domain.com
2015-02-04 17:04:21.130565282,Your account has been compromised,"Dear valued customer, we have detected suspicious activity on your account. Please verify your identity by clicking the link below: http://secure-bank-verify.com/login",phishing,noreply19@suspicious-domain.com
2015-02-06 12:55:06.453226613,Action required: Update payment information,We need to confirm your identity. Please provide your account details: https://account-security.com/verify,phishing,noreply20@suspicious-domain.com
2015-02-08 08:45:51.775887944,Urgent: Verify your account,Your package is ready for delivery. Track your shipment: http://tracking-express.com/package,phishing,noreply21@suspicious-domain.com
2015-02-10 04:36:37.098549274,Click here to claim your prize,"Dear valued customer, we have detected suspicious activity on your account. Please verify your identity by clicking the link below: http://secure-bank-verify.com/login",phishing,noreply22@suspicious-domain.com
2015-02-12 00:27:22.421210605,Your package is waiting,We need to confirm your identity. Please provide your account details: https://account-security.com/verify,phishing,noreply23@suspicious-domain.com
2015-02-13 20:18:07.743871936,Unusual activity detected,Your account will be suspended unless you update your payment information immediately. Click here: https://paypal-secure.verify-account.com,phishing,noreply24@suspicious-domain.com
2015-02-15 16:08:53.066533266,Urgent: Verify your account,We need to confirm your identity. Please provide your account details: https://account-security.com/verify,phishing,noreply25@suspicious-domain.com
2015-02-17 11:59:38.389194597,Click here to claim your prize,Your package is ready for delivery. Track your shipment: http://tracking-express.com/package,phishing,noreply26@suspicious-domain.com
2015-02-19 07:50:23.711855927,Confirm your identity immediately,We need to confirm your identity. Please provide your account details: https://account-security.com/verify,phishing,noreply27@suspicious-domain.com
2015-02-21 03:41:09.034517258,Congratulations! You've won,Congratulations! You have been selected as a winner. Claim your prize now: http://prize-winner.net/claim,phishing,noreply28@suspicious-domain.com
2015-02-22 23:31:54.357178589,Important security alert,Your package is ready for delivery. Track your shipment: http://tracking-express.com/package,phishing,noreply29@suspicious-domain.com
2015-02-24 19:22:39.679839920,Unusual activity detected,Your account will be suspended unless you update your payment information immediately. Click here: https://paypal-secure.verify-account.com,phishing,noreply30@suspicious-domain.com
2015-02-26 15:13:25.002501250,Confirm your identity immediately,Congratulations! You have been selected as a winner. Claim your prize now: http://prize-winner.net/claim,phishing,noreply31@suspicious-domain.com
2015-02-28 11:04:10.325162581,Action required: Update payment information,We need to confirm your identity. Please provide your account details: https://account-security.com/verify,phishing,noreply32@suspicious-domain.com
2015-03-02 06:54:55.647823912,Confirm your identity immediately,Your package is ready for delivery. Track your shipment: http://tracking-express.com/package,phishing,noreply33@suspicious-domain.com
